,class,mean_cases,population,ratio,state,date
8140,red,869,4645318,18.707007787195625,Louisiana,2020-04-06
4648,red,2004,10710017,18.71145489311548,Georgia,2021-03-14
16365,red,745,3980783,18.714911111708425,Oklahoma,2020-08-15
16388,red,745,3980783,18.714911111708425,Oklahoma,2020-09-07
14731,red,1984,10600823,18.71552803022935,North Carolina,2020-10-24
8055,red,838,4477251,18.71684209797485,Kentucky,2021-03-13
18570,red,977,5218040,18.723505377498064,South Carolina,2020-10-29
18526,red,977,5218040,18.723505377498064,South Carolina,2020-09-15
1975,red,7372,39368078,18.725831624292148,California,2020-11-17
12010,red,363,1937552,18.734981048250578,Nebraska,2020-05-12
12292,yellow,363,1937552,18.734981048250578,Nebraska,2021-02-18
12596,red,588,3138259,18.736503265026883,Nevada,2020-10-19
810,yellow,137,731158,18.737400124186564,Alaska,2021-03-10
20235,red,609,3249879,18.73915921177373,Utah,2020-09-20
22787,red,1093,5832655,18.73932197258367,Wisconsin,2020-09-16
18728,yellow,978,5218040,18.742669661405433,South Carolina,2021-04-05
18569,red,978,5218040,18.742669661405433,South Carolina,2020-10-28
11267,red,1153,6151548,18.74324966658799,Missouri,2020-08-29
3054,red,185,986809,18.747295575942253,Delaware,2020-05-02
2507,red,1089,5807719,18.750907197817252,Colorado,2021-03-03
234,red,923,4921532,18.75432284093652,Alabama,2020-10-11
10573,yellow,1061,5657342,18.754390312623844,Minnesota,2021-02-03
6041,red,2361,12587530,18.756658375392153,Illinois,2020-05-07
20813,red,117,623347,18.769641949026784,Vermont,2021-02-19
20846,red,117,623347,18.769641949026784,Vermont,2021-03-24
20845,red,117,623347,18.769641949026784,Vermont,2021-03-23
20814,red,117,623347,18.769641949026784,Vermont,2021-02-20
20819,red,117,623347,18.769641949026784,Vermont,2021-02-25
20179,red,610,3249879,18.769929588147743,Utah,2020-07-26
20177,red,610,3249879,18.769929588147743,Utah,2020-07-24
5899,red,343,1826913,18.774840400172312,Idaho,2021-02-15
5898,red,343,1826913,18.774840400172312,Idaho,2021-02-14
5759,red,343,1826913,18.774840400172312,Idaho,2020-09-28
9212,red,1137,6055802,18.775382682591008,Maryland,2020-11-12
17647,red,599,3189068,18.782917140681853,Puerto Rico,2020-08-19
2506,red,1091,5807719,18.785344125636932,Colorado,2021-03-02
10149,red,1873,9966555,18.79285269584124,Michigan,2021-02-05
6060,red,2366,12587530,18.79638022709777,Illinois,2020-05-26
