OBJECTID,Place,תאריך,שעות שהייה,lng,lat
1276253,ארומה - Jerusalem,30/6/2020,14:00 - 15:30,35.24168060000010,31.79573890000010
1276254,ישיבת בית מתתיהו - בני ברק,28/6/2020,08:00 - 23:00,34.82722720000000,32.089391000000000
1276255,קולולו - ראשון לציון,28/6/2020,08:30 - 09:30,34.82121190000000,31.95219160000010
1276256,סניף דואר אורלוב - פתח תקווה,29/6/2020,09:30 - 10:00,34.87752900000000,32.09241780000010
1276257,"רבי עקיבא 40, מודיעין עילית",29/6/2020,18:00 - 22:00,35.04548200000010,31.94152660000000
1276258,"בן יהודה 32, תל אביב יפו",28/6/2020,08:00 - 08:30,34.768246600000100,32.07632720000000
1276259,קניון עזריאלי מודיעין - מודיעין מכבים רעות,29/6/2020,20:00 - 21:00,35.00826580000010,31.899860200000000
1276260,ברלין לבונטין סופר מרקט - תל אביב יפו,29/6/2020,17:00 - 17:30,34.768587000000000,32.06580100000010
1276261,קאנטרי דקל - תל אביב יפו,28/6/2020,16:30 - 19:30,34.80390700000000,32.09728850000010
1276262,TYO - תל אביב יפו,27/6/2020,00:00 - 01:30,34.76802390000010,32.06334920000010
1276263,אלגריה - קרית עקרון,28/6/2020,20:30 - 23:00,34.809579900000100,31.86066950000000
1276264,אקו גן אירועים - חדרה,29/6/2020,20:00 - 23:30,34.91621530000000,32.45927720000000
1276265,בן עמי חווית אירוח וספא בגליל - בן עמי,28/6/2020,10:30 - 14:30,35.13009860000010,33.00589250000010
1276266,מסעדת הצוק - כפר ראש הניקרה,28/6/2020,15:00 - 17:00,35.10503260000010,33.093052700000000
1276267,טרקטורוני הצפון אקסטרים באכזיב - ,28/6/2020,17:00 - 18:30,35.10179180000010,33.049761800000100
1276268,בית הכנסת מיזוג גלויות - קריית ביאליק,28/6/2020,19:30 - 20:30,35.07811600000010,32.816272000000000
1276269,פורט 19 - תל אביב יפו,29/6/2020,21:30 - 23:00,34.776897000000100,32.07665470000010
1276270,בנדיקט / ארוחת בוקר בכפר סבא / מסעדות מומלצות - כפר סבא,29/6/2020,21:00 - 22:00,34.92746900000000,32.171077800000000
1276271,סופר האחים - מבשרת ציון,28/6/2020,22:00 - 22:30,35.14495490000010,31.79345660000010
1276272,קאב קם - תל אביב יפו,28/6/2020,15:00 - 16:00,34.78209090000010,32.06685280000010
1276273,אושר עד בני ברק - בני ברק,28/6/2020,12:00 - 12:30,34.83010420000010,32.09893020000000
1276274,טרם - בני ברק,29/6/2020,16:30 - 19:30,34.83795980000010,32.092488400000000
1276275,יוחננוף יד אליהו - תל אביב יפו,1/7/2020,13:00 - 14:00,34.79199690000010,32.06339220000010
1276276,Sunset Hall סאנסט הול - בת ים,28/6/2020,17:00 - 23:30,34.73736550000010,32.01138570000010
1276277,"המסגר 6, לוד",28/6/2020,19:40 - 20:10,34.89217260000000,31.965003800000000
1276278,עיטם פיננסים - תל אביב יפו,29/6/2020,21:00 - 16:00,34.784969000000000,32.06003700000010
1276279,GOAT TLV | גואט תל אביב - תל אביב יפו,29/6/2020,21:30 - 22:30,34.771961900000100,32.062941900000100
1276280,ישרוטל ים המלח - עין בוקק,27/6/2020,00:00 - 19:00,35.36106870000000,31.192988300000000
1276281,שופרסל דיל - חולון,30/6/2020,11:30 - 13:30,34.779430400000000,32.012287800000000
