Combined_Key,ids,ids_modified,01-02-2020,02-02-2020,03-02-2020,01-03-2020,01-04-2020,01-05-2020,01-06-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,05-02-2020,05-03-2020,05-04-2020,05-05-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,13-02-2020,13-03-2020,13-04-2020,13-05-2020,14-02-2020,14-03-2020,14-04-2020,14-05-2020,15-02-2020,15-03-2020,15-04-2020,15-05-2020,16-02-2020,16-03-2020,16-04-2020,16-05-2020,17-02-2020,17-03-2020,17-04-2020,17-05-2020,18-02-2020,18-03-2020,18-04-2020,18-05-2020,19-02-2020,19-03-2020,19-04-2020,19-05-2020,20-02-2020,20-03-2020,20-04-2020,20-05-2020,21-02-2020,21-03-2020,21-04-2020,21-05-2020,22-02-2020,22-03-2020,22-04-2020,22-05-2020,23-02-2020,23-03-2020,23-04-2020,23-05-2020,24-02-2020,24-03-2020,24-04-2020,24-05-2020,25-01-2020,25-02-2020,25-03-2020,25-04-2020,25-05-2020,26-01-2020,26-02-2020,26-03-2020,26-04-2020,26-05-2020,27-01-2020,27-02-2020,27-03-2020,27-04-2020,27-05-2020,28-01-2020,28-02-2020,28-03-2020,28-04-2020,28-05-2020,29-01-2020,29-02-2020,29-03-2020,29-04-2020,29-05-2020,30-01-2020,30-03-2020,30-04-2020,30-05-2020,31-01-2020,31-03-2020,31-05-2020
"Quebec, Lanaudière, CA",2414,2414,0,0,0,0,7,88,41,0,49,72,6,0,49,65,13,0,0,39,64,0,0,53,72,0,0,45,58,0,0,41,91,0,0,48,72,0,0,84,43,0,0,74,62,0,0,50,59,0,0,20,70,0,0,60,57,0,1,78,67,0,1,80,38,0,1,114,87,0,3,67,107,0,0,37,76,0,1,101,47,0,0,61,41,0,2,56,71,0,6,72,65,0,35,49,49,0,5,62,48,0,0,13,78,47,0,0,4,73,51,0,0,25,117,31,0,0,29,70,20,0,0,18,105,17,0,53,99,36,0,52,19
"Quebec, Laurentides, CA",2415,2415,0,0,0,0,64,45,53,0,27,43,15,0,29,41,0,0,0,52,45,0,1,37,60,0,0,5,69,0,0,34,74,0,0,12,46,0,0,57,73,0,0,29,54,0,0,23,39,0,1,13,69,0,0,54,71,0,0,28,63,0,1,27,81,0,0,37,35,0,4,50,69,0,1,36,60,0,1,31,42,0,1,25,59,0,4,37,55,0,3,30,62,0,13,31,51,0,14,38,64,0,0,6,51,44,0,0,11,40,46,0,0,20,37,25,0,0,27,50,37,0,0,12,58,22,0,49,42,52,0,30,37
"Quebec, Montérégie, CA",2416,2416,0,0,0,0,81,99,41,0,64,133,60,0,97,271,101,0,0,100,157,0,0,123,116,0,1,88,173,0,0,67,73,0,1,73,92,0,0,74,100,0,0,65,156,0,0,86,131,0,2,66,110,0,0,108,110,0,3,132,120,0,2,121,39,0,1,121,120,0,3,113,95,0,0,132,112,0,6,90,59,0,2,224,27,0,5,145,52,0,14,62,46,0,26,77,162,0,59,16,152,0,0,23,70,159,0,0,19,53,150,0,0,26,90,157,0,0,26,94,184,0,0,38,123,195,0,32,134,55,0,52,54
"Quebec, Nunavik, CA",2417,2417,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Quebec, Terres-Cries-de-la-Baie-James, CA",2418,2418,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"Ontario, Algoma, CA",3526,3526,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"Ontario, Brant, CA",3527,3527,0,0,0,0,6,1,1,0,12,2,0,0,6,1,1,0,0,7,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6,0,0,0,6,2,0,0,1,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2,1,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,1,0,2,6,1,0,0,0,2,1,0,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,8,2,0,0,0,0
"Ontario, Durham, CA",3530,3530,0,0,0,0,39,40,10,0,23,25,17,0,10,26,11,0,0,38,29,0,0,11,11,0,0,11,25,0,0,23,21,0,0,11,7,0,0,22,13,0,0,19,10,0,0,16,5,0,0,22,9,0,0,12,18,0,3,74,7,0,2,14,11,0,1,40,14,0,0,35,19,0,0,37,21,0,4,53,19,0,11,51,10,0,4,40,23,0,2,45,6,0,6,24,18,0,9,29,16,0,0,9,26,24,0,0,5,39,17,0,0,10,24,5,0,0,10,24,20,0,2,10,10,11,0,11,22,14,0,12,13
"Ontario, Grey Bruce, CA",3533,3533,0,0,0,0,3,2,3,0,1,2,0,0,2,1,1,0,0,2,3,0,0,2,0,0,0,5,0,0,0,3,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,1,0,0,2,2,0,0,0,2,0,0,0,1,0,0,1,14,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,0,1,2,0,0,0,0,2,0,0,0,1,2,0,0,0,1,3,0,0,0,1,3,1,0,0,3,0,1,0,1,0,0,0,0,0
"Ontario, Haldimand-Norfolk, CA",3534,3534,0,0,0,0,4,3,118,0,7,2,44,0,9,0,0,0,0,15,0,0,0,3,0,0,0,20,0,0,0,28,0,0,0,1,2,0,0,9,1,0,0,4,0,0,0,4,2,0,0,4,0,0,0,13,2,0,0,0,1,0,0,7,0,0,0,1,0,0,0,3,1,0,0,2,1,0,0,1,0,0,0,5,1,0,0,3,0,0,0,1,1,0,0,6,1,0,0,1,0,0,0,0,3,1,0,0,1,4,6,0,0,4,2,0,0,0,0,5,0,0,0,0,2,1,0,18,1,3,0,0,0
