Combined_Key,ids,ids_modified,01-02-2020,02-02-2020,03-02-2020,01-03-2020,01-04-2020,01-05-2020,01-06-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,05-02-2020,05-03-2020,05-04-2020,05-05-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,13-02-2020,13-03-2020,13-04-2020,13-05-2020,14-02-2020,14-03-2020,14-04-2020,14-05-2020,15-02-2020,15-03-2020,15-04-2020,15-05-2020,16-02-2020,16-03-2020,16-04-2020,16-05-2020,17-02-2020,17-03-2020,17-04-2020,17-05-2020,18-02-2020,18-03-2020,18-04-2020,18-05-2020,19-02-2020,19-03-2020,19-04-2020,19-05-2020,20-02-2020,20-03-2020,20-04-2020,20-05-2020,21-02-2020,21-03-2020,21-04-2020,21-05-2020,22-02-2020,22-03-2020,22-04-2020,22-05-2020,23-02-2020,23-03-2020,23-04-2020,23-05-2020,24-02-2020,24-03-2020,24-04-2020,24-05-2020,25-01-2020,25-02-2020,25-03-2020,25-04-2020,25-05-2020,26-01-2020,26-02-2020,26-03-2020,26-04-2020,26-05-2020,27-01-2020,27-02-2020,27-03-2020,27-04-2020,27-05-2020,28-01-2020,28-02-2020,28-03-2020,28-04-2020,28-05-2020,29-01-2020,29-02-2020,29-03-2020,29-04-2020,29-05-2020,30-01-2020,30-03-2020,30-04-2020,30-05-2020,31-01-2020,31-03-2020,31-05-2020
"Saskatchewan, North, CA","4712,4711",4711,0,0,0,0,0,4,0,0,1,5,0,0,4,4,0,0,0,1,4,0,0,4,2,0,0,0,0,0,0,1,4,0,0,3,1,0,0,1,3,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,4,0,1,0,0,0,0,1,0,0,4,1,0,0,0,2,0,0,0,0,1,1,0,0,5,3,0,0,0,0,1,0,0,0,13,0,1,0,0,7,5,0,0,4,3,0,0,0,0
"BC, Interior, CA","5911,5912,5913,5914",5911,0,0,0,0,7,4,0,0,7,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,5,1,0,0,5,0,0,0,3,0,0,5,1,0,0,2,0,0,0,3,0,0,0,7,3,1,0,8,0,1,0,0,0,11,0,3,3,0,0,11,2,0,0,0,5,2,0,0,0,16,0,0,0,0,8,4,0,0,0,7,4,1,0,0,0,1,0,0,17,1,0,0,13,0
"BC, Fraser, CA","5921,5922,5923",5921,0,0,0,0,19,17,22,0,19,22,4,1,26,0,21,0,0,12,27,0,2,0,4,0,0,26,15,0,4,8,18,0,0,29,25,0,3,21,9,0,2,31,0,0,4,19,20,0,2,0,6,0,0,33,13,0,1,10,12,0,0,22,15,0,8,7,20,0,18,31,0,0,11,19,11,0,23,0,1,1,14,25,18,0,31,10,9,0,0,32,13,0,24,13,8,1,44,12,0,0,0,24,81,9,0,0,23,0,8,0,0,21,26,6,0,0,29,39,7,0,0,0,23,3,0,32,20,8,0,25,0
"BC, Vancouver Coastal, CA","5931,5932,5933",5931,0,0,0,0,21,8,2,0,28,0,0,3,16,0,1,1,1,13,22,0,6,0,4,2,0,32,3,0,2,17,13,0,0,12,1,0,2,11,5,0,5,3,0,0,2,13,2,0,5,0,1,0,11,8,3,0,7,8,1,0,0,12,0,0,15,0,0,0,52,10,0,0,28,6,4,0,8,0,1,0,48,14,2,0,30,7,2,0,0,38,1,0,18,10,2,0,82,12,0,0,0,9,11,4,0,0,20,0,3,0,0,32,17,1,1,0,53,8,1,0,1,0,8,1,0,28,4,2,0,4,0
"BC, Island, CA","5941,5942,5943",5941,0,0,0,0,5,1,0,0,0,2,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,3,0,0,7,2,0,0,4,0,0,0,4,3,0,0,6,0,0,0,8,5,0,0,7,7,0,0,0,1,1,0,2,1,0,0,5,3,0,0,0,3,1,0,0,0,5,0,0,0,0,5,2,0,0,0,3,2,0,0,0,0,1,0,0,7,0,0,0,0,0
"BC, Northern, CA","5951,5952,5953",5951,0,0,0,0,1,3,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,2,1,0,4,1,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,2,0,1,2,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,1,0,0,2,0,1,0,1,0
"Alberta, Not Reported, CA",,,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nova Scotia, Not Reported, CA",,,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,6,0,0,0,7,0,0,0,13,0,0,0,10,0,0,0,0,17,0,0,0,0,5,0,0,0,0,17,0,0,0,0,20,0,0,0,0,12,0,0,0,5,0,0,0,20,0
"Ontario, Southwestern, CA",,,0,0,0,0,5,0,0,0,3,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,3,1,0,1,4,5,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,3,3,1,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,1
"Quebec, Not Reported, CA",,,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Repatriated, Not Reported, CA",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
