province_country,id,value,color
"El Paso, Colorado, US",84008041,0.8264604810996563,red
"Fremont, Colorado, US",84008043,0.15384615384615385,yellow
"Garfield, Colorado, US",84008045,0.32857142857142857,yellow
"Gilpin, Colorado, US",84008047,0.33333333333333337,yellow
"Grand, Colorado, US",84008049,0.0,green
"Gunnison, Colorado, US",84008051,0.09022556390977443,green
"Hinsdale, Colorado, US",84008053,0.0,green
"Huerfano, Colorado, US",84008055,0.0,green
"Jefferson, Colorado, US",84008059,0.6069651741293531,orange
"Kit Carson, Colorado, US",84008063,0.0,green
"Lake, Colorado, US",84008065,0.2727272727272727,yellow
"La Plata, Colorado, US",84008067,0.2916666666666667,yellow
"Larimer, Colorado, US",84008069,0.5061224489795918,orange
"Las Animas, Colorado, US",84008071,0.0,green
"Lincoln, Colorado, US",84008073,0.0,green
"Logan, Colorado, US",84008075,0.3502824858757062,yellow
"Mesa, Colorado, US",84008077,-0.05,green
"Mineral, Colorado, US",84008079,0.0,green
"Moffat, Colorado, US",84008081,0.0,green
"Montezuma, Colorado, US",84008083,0.5714285714285714,orange
"Montrose, Colorado, US",84008085,0.3209876543209877,yellow
"Morgan, Colorado, US",84008087,0.37897310513447435,yellow
"Otero, Colorado, US",84008089,0.33333333333333337,yellow
"Ouray, Colorado, US",84008091,0.25,yellow
"Park, Colorado, US",84008093,0.625,orange
"Phillips, Colorado, US",84008095,0.4444444444444445,orange
"Pitkin, Colorado, US",84008097,0.15789473684210525,yellow
"Prowers, Colorado, US",84008099,0.3125,yellow
"Pueblo, Colorado, US",84008101,0.6956521739130435,orange
"Rio Blanco, Colorado, US",84008103,0.0,green
"Rio Grande, Colorado, US",84008105,0.4,orange
"Routt, Colorado, US",84008107,0.0425531914893617,green
"Saguache, Colorado, US",84008109,1.0,red
"San Juan, Colorado, US",84008111,0.0,green
"San Miguel, Colorado, US",84008113,0.2105263157894737,yellow
"Summit, Colorado, US",84008117,0.5480769230769231,orange
"Teller, Colorado, US",84008119,0.04,green
"Washington, Colorado, US",84008121,0.4444444444444445,orange
"Weld, Colorado, US",84008123,0.30324074074074076,yellow
"Yuma, Colorado, US",84008125,0.09090909090909091,green
"Fairfield, Connecticut, US",84009001,0.33257512271040346,yellow
"Hartford, Connecticut, US",84009003,0.8499202915053518,red
"Litchfield, Connecticut, US",84009005,0.41007194244604317,orange
"Middlesex, Connecticut, US",84009007,0.5385964912280702,orange
"New Haven, Connecticut, US",84009009,0.43032855939342884,orange
"New London, Connecticut, US",84009011,0.42291666666666666,orange
"Tolland, Connecticut, US",84009013,1.0,red
"Windham, Connecticut, US",84009015,0.6236559139784945,orange
"Kent, Delaware, US",84010001,0.7725190839694657,orange
"New Castle, Delaware, US",84010003,0.8941176470588236,red
"Sussex, Delaware, US",84010005,0.7279968140183195,orange
"District of Columbia,District of Columbia,US",84011001,0.632192648922687,orange
"Alachua, Florida, US",84012001,0.28431372549019607,yellow
"Baker, Florida, US",84012003,0.18749999999999997,yellow
"Bay, Florida, US",84012005,0.37037037037037035,yellow
"Bradford, Florida, US",84012007,0.03333333333333333,green
"Brevard, Florida, US",84012009,0.39631336405529954,yellow
"Broward, Florida, US",84012011,0.35772357723577236,yellow
"Calhoun, Florida, US",84012013,0.6190476190476191,orange
"Charlotte, Florida, US",84012015,0.6764705882352942,orange
"Citrus, Florida, US",84012017,0.19780219780219782,yellow
"Clay, Florida, US",84012019,0.15412186379928317,yellow
"Collier, Florida, US",84012021,0.9728813559322034,red
"Columbia, Florida, US",84012023,0.21212121212121213,yellow
"DeSoto,Florida,US",84012027,0.8800000000000001,red
"Dixie, Florida, US",84012029,1.0,red
"Duval, Florida, US",84012031,0.3953216374269006,yellow
"Escambia, Florida, US",84012033,0.4334203655352481,orange
"Flagler, Florida, US",84012035,0.2797202797202797,yellow
"Franklin, Florida, US",84012037,0.0,green
"Gadsden, Florida, US",84012039,0.987012987012987,red
"Gilchrist, Florida, US",84012041,0.33333333333333337,yellow
"Glades, Florida, US",84012043,1.0,red
"Gulf, Florida, US",84012045,0.0,green
"Hamilton, Florida, US",84012047,0.960573476702509,red
"Hardee, Florida, US",84012049,0.3076923076923077,yellow
"Hendry, Florida, US",84012051,0.943502824858757,red
"Hernando, Florida, US",84012053,0.25,yellow
"Highlands, Florida, US",84012055,0.29850746268656714,yellow
"Hillsborough, Florida, US",84012057,0.6187576126674786,orange
"Holmes, Florida, US",84012059,0.0,green
"Indian River, Florida, US",84012061,0.17204301075268816,yellow
"Jackson, Florida, US",84012063,0.6244131455399061,orange
"Jefferson, Florida, US",84012065,0.0,green
"Lafayette, Florida, US",84012067,1.0,red
"Lake, Florida, US",84012069,0.16842105263157894,yellow
"Lee, Florida, US",84012071,0.7324929971988795,orange
"Leon, Florida, US",84012073,0.4636363636363636,orange
"Levy, Florida, US",84012075,0.7142857142857143,orange
"Liberty, Florida, US",84012077,0.010309278350515465,green
"Madison, Florida, US",84012079,0.09374999999999999,green
"Manatee, Florida, US",84012081,0.5115303983228511,orange
"Marion, Florida, US",84012083,0.24,yellow
"Martin, Florida, US",84012085,1.0,red
"Miami-Dade, Florida, US",84012086,0.477237791178905,orange
"Monroe, Florida, US",84012087,0.28767123287671237,yellow
"Nassau, Florida, US",84012089,0.26666666666666666,yellow
"Okaloosa, Florida, US",84012091,0.21495327102803738,yellow
"Okeechobee, Florida, US",84012093,0.9285714285714285,red
"Orange, Florida, US",84012095,0.325776658270361,yellow
"Osceola, Florida, US",84012097,0.3112244897959183,yellow
"Palm Beach, Florida, US",84012099,0.8402136959689169,red
